time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
2674721,-0.0390,-0.8200,0.6028,0.04,1.04,0.91,1.0185,1.38,0
2674731,-0.0433,-0.8208,0.6016,0.37,0.88,1.21,1.0186,1.54,0
2674741,-0.0461,-0.8310,0.6079,0.77,1.09,1.51,1.0306,2.02,0
2674751,-0.0495,-0.8361,0.6103,0.95,0.75,0.72,1.0363,1.41,0
2674761,-0.0503,-0.8282,0.6105,1.15,0.40,-0.31,1.0302,1.25,0
2674771,-0.0479,-0.8168,0.6107,0.96,0.18,-0.87,1.0210,1.31,0
2674781,-0.0437,-0.8121,0.6085,0.47,-0.06,-0.76,1.0157,0.90,0
2674791,-0.0406,-0.8142,0.6043,0.06,-0.38,-0.04,1.0148,0.38,0
2674801,-0.0404,-0.8208,0.5995,0.57,-0.64,0.76,1.0172,1.14,0
2674811,-0.0518,-0.8444,0.6081,0.99,-0.45,1.00,1.0418,1.47,0
2674821,-0.0524,-0.8405,0.6168,1.85,-0.04,-0.41,1.0438,1.89,0
2674831,-0.0485,-0.8219,0.6186,3.01,-0.81,-1.29,1.0298,3.37,0
2674841,-0.0488,-0.8113,0.6141,3.95,-1.70,-0.50,1.0186,4.32,0
2674851,-0.0523,-0.8185,0.6105,4.16,-2.22,0.88,1.0224,4.79,0
2674861,-0.0649,-0.8329,0.6106,4.57,-2.24,1.51,1.0347,5.31,0
2674871,-0.0679,-0.8420,0.6219,6.54,-2.11,1.43,1.0490,7.01,0
2674881,-0.0646,-0.8379,0.6294,9.36,-2.59,0.61,1.0500,9.73,0
2674891,-0.0605,-0.8280,0.6308,11.28,-3.92,0.02,1.0427,11.94,0
2674901,-0.0590,-0.8244,0.6281,12.30,-5.28,0.56,1.0381,13.40,0
2674911,-0.0695,-0.8263,0.6281,15.00,-6.10,1.35,1.0403,16.25,0
2674921,-0.0695,-0.8249,0.6376,18.34,-6.34,1.74,1.0449,19.48,0
2674931,-0.0627,-0.8221,0.6488,18.39,-6.97,1.32,1.0491,19.71,0
2674941,-0.0554,-0.8113,0.6488,19.90,-9.46,0.75,1.0403,22.04,0
2674951,-0.0540,-0.8095,0.6402,18.51,-11.55,0.70,1.0334,21.83,0
2674961,-0.0438,-0.8002,0.6288,17.41,-12.52,0.83,1.0186,21.46,0
2674971,-0.0393,-0.8056,0.6150,14.38,-12.15,0.80,1.0143,18.84,0
2674981,-0.0377,-0.8120,0.6095,12.69,-10.74,1.23,1.0160,16.67,0
2674991,-0.0356,-0.8262,0.6112,10.61,-8.79,1.05,1.0283,13.81,0
2675001,-0.0345,-0.8052,0.6248,9.36,-7.15,-0.39,1.0197,11.79,1
2675011,-0.0360,-0.7918,0.6319,6.48,-5.53,-3.27,1.0136,9.13,1
2675021,-0.0312,-0.7907,0.6412,0.16,-5.53,-3.12,1.0184,6.35,1
2675031,-0.0248,-0.7843,0.6409,-1.23,-6.32,-3.61,1.0131,7.38,1
2675041,-0.0158,-0.7662,0.6349,-1.84,-7.37,-3.91,0.9952,8.54,1
2675051,-0.0066,-0.7643,0.6275,-2.89,-7.90,-2.63,0.9889,8.81,1
2675061,-0.0062,-0.7875,0.6225,-4.85,-7.87,-1.03,1.0039,9.30,1
2675071,-0.0112,-0.8063,0.6246,-3.96,-7.51,-0.53,1.0200,8.51,1
2675081,-0.0116,-0.8157,0.6342,-1.64,-7.05,-0.71,1.0333,7.27,1
2675091,-0.0138,-0.8259,0.6414,0.67,-7.51,-1.39,1.0458,7.66,1
2675101,-0.0213,-0.8394,0.6397,1.94,-8.50,-2.26,1.0556,9.00,1
2675111,-0.0249,-0.8488,0.6387,2.91,-9.11,-4.11,1.0626,10.41,1
2675121,-0.0201,-0.8413,0.6382,3.96,-9.70,-7.08,1.0562,12.65,1
2675131,-0.0093,-0.8140,0.6308,4.23,-10.45,-10.05,1.0298,15.10,1
2675141,0.0000,-0.7768,0.6194,3.68,-10.85,-11.43,0.9935,16.18,1
2675151,0.0034,-0.7555,0.6145,2.70,-10.26,-10.02,0.9739,14.59,1
2675161,0.0064,-0.7663,0.6212,0.73,-9.25,-7.27,0.9865,11.79,1
2675171,0.0096,-0.7780,0.6253,-0.63,-9.12,-5.57,0.9982,10.70,1
2675181,0.0161,-0.7763,0.6216,-1.58,-9.33,-4.62,0.9946,10.53,1
2675191,0.0162,-0.7830,0.6078,-2.03,-9.52,-3.26,0.9914,10.26,1
2675201,0.0243,-0.7834,0.6078,-2.49,-8.56,-0.76,0.9919,8.95,1
2675211,0.0235,-0.7738,0.6077,0.19,-6.92,0.11,0.9842,6.92,1
2675221,0.0199,-0.7731,0.6114,1.14,-6.14,1.84,0.9859,6.51,1
2675231,0.0174,-0.7846,0.6213,0.82,-5.14,2.98,1.0009,6.00,1
2675241,0.0148,-0.7863,0.6316,1.55,-5.07,3.43,1.0087,6.31,1
2675251,0.0163,-0.7921,0.6344,1.40,-5.78,3.64,1.0150,6.97,1
2675261,0.0211,-0.7889,0.6233,0.99,-6.58,3.55,1.0056,7.54,1
2675271,0.0269,-0.7821,0.6051,0.67,-6.57,3.75,0.9892,7.59,1
2675281,0.0304,-0.7835,0.5917,0.67,-5.37,4.94,0.9823,7.33,1
2675291,0.0243,-0.7981,0.5863,0.41,-3.29,6.24,0.9906,7.07,1
2675301,0.0165,-0.8064,0.5944,1.46,-0.84,6.53,1.0019,6.74,1
2675311,0.0059,-0.7956,0.6103,3.26,0.95,6.14,1.0028,7.02,1
2675321,-0.0035,-0.7883,0.6274,2.89,1.95,5.84,1.0075,6.80,1
2675331,-0.0063,-0.7917,0.6386,1.77,1.94,5.35,1.0171,5.96,1
2675341,-0.0046,-0.7836,0.6364,1.10,1.12,4.65,1.0095,4.90,1
2675351,-0.0036,-0.7671,0.6220,0.77,0.63,4.69,0.9876,4.79,1
2675361,-0.0049,-0.7541,0.6157,1.02,1.30,6.35,0.9735,6.56,1
2675371,-0.0116,-0.7549,0.6236,2.42,2.47,9.42,0.9792,10.04,1
2675381,-0.0312,-0.7422,1.4966,2.47,3.01,11.77,1.6708,12.40,1
2675391,-0.1026,-0.5069,0.5182,-23.18,-40.72,19.13,0.7321,50.61,1
2675401,-0.0306,-0.7614,0.3598,-62.25,-102.30,49.81,0.8427,129.69,1
2675411,0.0027,-0.8064,0.3284,-56.51,-78.10,51.07,0.8708,109.09,1
2675421,0.0055,-0.8430,0.4119,-45.51,-55.16,50.52,0.9383,87.56,1
2675431,-0.0208,-0.8621,0.4874,-22.72,-42.49,50.26,0.9906,69.63,1
2675441,-0.0161,-0.9390,0.3534,-2.53,-30.55,47.85,1.0034,56.83,1
2675451,-0.0150,-1.0430,0.3509,3.97,-8.58,35.47,1.1005,36.71,1
2675461,-0.0174,-1.0170,0.4686,18.31,11.16,17.40,1.1199,27.61,1
