time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
92131,-0.1582,-0.9979,-0.0351,0.67,0.50,-0.12,1.0109,0.84,0
92141,-0.1584,-0.9992,-0.0344,0.60,0.49,-0.12,1.0123,0.78,0
92151,-0.1582,-0.9977,-0.0338,0.62,0.51,-0.13,1.0108,0.81,0
92161,-0.1578,-0.9981,-0.0344,0.60,0.51,-0.09,1.0111,0.79,0
92171,-0.1587,-0.9974,-0.0349,0.59,0.51,-0.15,1.0105,0.79,0
92181,-0.1583,-0.9973,-0.0334,0.60,0.54,-0.12,1.0104,0.82,0
92191,-0.1590,-0.9987,-0.0349,0.66,0.49,-0.11,1.0119,0.83,0
92201,-0.1583,-0.9976,-0.0343,0.59,0.46,-0.12,1.0106,0.75,0
92211,-0.1581,-0.9981,-0.0348,0.57,0.51,-0.11,1.0111,0.77,0
92221,-0.1580,-0.9972,-0.0334,0.62,0.52,-0.16,1.0102,0.82,0
92231,-0.1579,-0.9979,-0.0335,0.61,0.53,-0.12,1.0108,0.82,0
92241,-0.1571,-0.9983,-0.0345,0.62,0.52,-0.14,1.0112,0.82,0
92251,-0.1573,-0.9982,-0.0332,0.61,0.53,-0.16,1.0110,0.82,0
92261,-0.1589,-0.9979,-0.0341,0.59,0.50,-0.12,1.0110,0.78,0
92271,-0.1569,-0.9968,-0.0345,0.57,0.49,-0.11,1.0097,0.76,0
92281,-0.1582,-0.9983,-0.0347,0.56,0.49,-0.18,1.0113,0.77,0
92291,-0.1578,-0.9977,-0.0349,0.58,0.50,-0.11,1.0107,0.77,0
92301,-0.1581,-0.9982,-0.0333,0.69,0.53,-0.12,1.0112,0.88,0
92311,-0.1579,-0.9980,-0.0332,0.60,0.49,-0.13,1.0110,0.79,0
92321,-0.1590,-0.9988,-0.0340,0.54,0.48,-0.12,1.0119,0.74,0
92331,-0.1580,-0.9978,-0.0344,0.57,0.51,-0.09,1.0108,0.77,0
92341,-0.1576,-0.9979,-0.0346,0.67,0.53,-0.11,1.0108,0.86,0
92351,-0.1574,-0.9972,-0.0340,0.69,0.51,-0.10,1.0101,0.86,0
92361,-0.1581,-0.9971,-0.0348,0.60,0.52,-0.13,1.0102,0.81,0
92371,-0.1593,-0.9978,-0.0345,0.53,0.50,-0.15,1.0110,0.75,0
92381,-0.1580,-0.9985,-0.0349,0.55,0.54,-0.13,1.0115,0.78,0
92391,-0.1578,-0.9981,-0.0346,0.68,0.55,-0.07,1.0111,0.88,0
92401,-0.1581,-0.9981,-0.0340,0.63,0.50,-0.09,1.0111,0.81,1
92411,-0.1576,-0.9984,-0.0342,0.53,0.52,-0.14,1.0113,0.76,1
92421,-0.1573,-0.9983,-0.0345,0.69,0.48,-0.08,1.0112,0.85,1
92431,-0.1589,-0.9976,-0.0343,0.63,0.49,-0.09,1.0108,0.80,1
92441,-0.1578,-0.9981,-0.0347,0.53,0.53,-0.15,1.0111,0.76,1
92451,-0.1584,-0.9982,-0.0345,0.57,0.50,-0.16,1.0112,0.77,1
92461,-0.1589,-0.9987,-0.0337,0.63,0.51,-0.12,1.0118,0.82,1
92471,-0.1587,-0.9983,-0.0341,0.60,0.52,-0.16,1.0114,0.80,1
92481,-0.1573,-0.9983,-0.0342,0.60,0.53,-0.11,1.0112,0.80,1
92491,-0.1579,-0.9976,-0.0344,0.69,0.51,-0.12,1.0106,0.87,1
92501,-0.1571,-0.9979,-0.0336,0.66,0.52,-0.12,1.0108,0.84,1
92511,-0.1574,-0.9988,-0.0336,0.54,0.48,-0.10,1.0117,0.73,1
92521,-0.1595,-0.9993,-0.0343,0.61,0.49,-0.11,1.0126,0.79,1
92531,-0.1582,-0.9982,-0.0346,0.57,0.51,-0.13,1.0113,0.77,1
92541,-0.1584,-0.9974,-0.0342,0.52,0.51,-0.14,1.0105,0.74,1
92551,-0.1585,-0.9973,-0.0345,0.53,0.53,-0.11,1.0104,0.76,1
92561,-0.1583,-0.9980,-0.0346,0.70,0.53,-0.08,1.0111,0.88,1
92571,-0.1592,-0.9974,-0.0340,0.76,0.52,-0.10,1.0106,0.92,1
92581,-0.1572,-0.9981,-0.0341,0.64,0.51,-0.11,1.0110,0.82,1
92591,-0.1580,-0.9974,-0.0335,0.53,0.52,-0.16,1.0104,0.76,1
92601,-0.1585,-0.9989,-0.0348,0.48,0.53,-0.15,1.0120,0.73,1
92611,-0.1588,-0.9980,-0.0336,0.57,0.53,-0.09,1.0112,0.78,1
92621,-0.1584,-0.9973,-0.0338,0.64,0.51,-0.11,1.0103,0.82,1
92631,-0.1581,-0.9972,-0.0341,0.51,0.47,-0.11,1.0102,0.70,1
92641,-0.1581,-0.9982,-0.0351,0.58,0.50,-0.14,1.0113,0.78,1
92651,-0.1573,-0.9994,-0.0335,0.71,0.51,-0.08,1.0122,0.88,1
92661,-0.1590,-0.9984,-0.0340,0.73,0.51,-0.07,1.0116,0.89,1
92671,-0.1584,-0.9977,-0.0351,0.53,0.51,-0.13,1.0108,0.75,1
92681,-0.1587,-0.9975,-0.0352,0.46,0.48,-0.15,1.0107,0.68,1
92691,-0.1580,-0.9985,-0.0341,0.65,0.46,-0.15,1.0115,0.81,1
92701,-0.1599,-0.9983,-0.0333,0.87,0.51,-0.11,1.0116,1.01,1
92711,-0.1580,-0.9977,-0.0332,0.72,0.54,-0.09,1.0107,0.90,1
92721,-0.1571,-0.9975,-0.0341,0.42,0.53,-0.16,1.0104,0.69,1
92731,-0.1582,-0.9979,-0.0356,0.46,0.54,-0.14,1.0110,0.73,1
92741,-0.1587,-0.9988,-0.0345,0.64,0.53,-0.14,1.0119,0.84,1
92751,-0.1586,-0.9987,-0.0344,0.73,0.50,-0.08,1.0118,0.88,1
92761,-0.1587,-0.9979,-0.0341,0.70,0.56,-0.10,1.0110,0.90,1
92771,-0.1581,-0.9983,-0.0347,0.60,0.49,-0.14,1.0113,0.78,1
92781,-0.1573,-0.9980,-0.0348,0.54,0.52,-0.12,1.0109,0.76,1
92791,-0.1589,-0.9982,-0.0341,0.69,0.54,-0.09,1.0114,0.88,1
92801,-0.1578,-0.9974,-0.0355,0.63,0.54,-0.12,1.0104,0.84,1
92811,-0.1585,-0.9979,-0.0342,0.60,0.53,-0.13,1.0110,0.80,1
92821,-0.1573,-0.9980,-0.0339,0.67,0.52,-0.18,1.0109,0.86,1
92831,-0.1582,-0.9986,-0.0334,0.74,0.47,-0.13,1.0116,0.88,1
92841,-0.1586,-0.9980,-0.0340,0.64,0.52,-0.11,1.0111,0.83,1
92851,-0.1575,-0.9984,-0.0349,0.43,0.53,-0.16,1.0113,0.70,1
92861,-0.1580,-0.9987,-0.0345,0.53,0.51,-0.11,1.0117,0.74,1
92871,-0.1577,-0.9974,-0.0341,0.78,0.53,-0.07,1.0103,0.94,1
92881,-0.1564,-0.9985,-0.0347,0.68,0.51,-0.09,1.0113,0.85,1
92891,-0.1580,-0.9988,-0.0341,0.46,0.47,-0.11,1.0118,0.67,1
92901,-0.1589,-0.9974,-0.0340,0.51,0.51,-0.14,1.0106,0.73,1
92911,-0.1581,-0.9980,-0.0341,0.67,0.47,-0.09,1.0111,0.82,1
92921,-0.1571,-0.9976,-0.0347,0.59,0.45,-0.13,1.0105,0.75,1
92931,-0.1583,-0.9977,-0.0341,0.54,0.52,-0.12,1.0108,0.76,1
92941,-0.1567,-0.9980,-0.0342,0.57,0.47,-0.13,1.0108,0.75,1
92951,-0.1572,-0.9990,-0.0340,0.66,0.46,-0.12,1.0119,0.81,1
92961,-0.1576,-0.9980,-0.0347,0.67,0.49,-0.10,1.0110,0.84,1
92971,-0.1582,-0.9990,-0.0338,0.63,0.53,-0.11,1.0120,0.83,1
92981,-0.1590,-0.9987,-0.0330,0.53,0.53,-0.15,1.0118,0.76,1
92991,-0.1574,-0.9971,-0.0339,0.59,0.49,-0.15,1.0100,0.78,1
93001,-0.1577,-0.9975,-0.0338,0.65,0.53,-0.12,1.0105,0.85,1
93011,-0.1577,-0.9977,-0.0343,0.62,0.57,-0.12,1.0107,0.85,1
93021,-0.1580,-0.9987,-0.0338,0.67,0.51,-0.12,1.0116,0.85,1
93031,-0.1587,-0.9980,-0.0334,0.68,0.47,-0.11,1.0111,0.84,1
93041,-0.1584,-0.9971,-0.0326,0.67,0.50,-0.09,1.0102,0.84,1
93051,-0.1572,-0.9993,-0.0338,0.56,0.48,-0.16,1.0121,0.75,1
93061,-0.1585,-0.9976,-0.0346,0.58,0.46,-0.17,1.0107,0.76,1
93071,-0.1580,-0.9969,-0.0337,0.61,0.49,-0.13,1.0099,0.80,1
93081,-0.1599,-0.9985,-0.0346,0.60,0.51,-0.12,1.0118,0.79,1
