time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
0051,-0.140.9712,0.2656,17.03,5.20,-2.77,1.0166,18.02,0
3010061,-0.1353,-0.9729,0.2773,19.66,5.74,-4.15,1.0207,20.90,0
3010071,-0.1341,-0.9708,0.2803,20.08,5.52,-4.80,1.0194,21.37,0
3010081,-0.1320,-0.9665,0.2840,17.77,5.31,-5.13,1.0159,19.24,0
3010091,-0.1346,-0.9693,0.2835,14.96,5.04,-5.37,1.0189,16.68,0
3010101,-0.1190,-0.9528,0.2962,11.90,3.89,-5.32,1.0049,13.60,0
3010111,-0.1160,-0.9555,0.3030,5.65,2.26,-5.29,1.0091,8.07,0
3010121,-0.1186,-0.9613,0.2911,5.16,3.02,-4.40,1.0114,7.43,0
3010131,-0.1240,-0.9680,0.2829,4.61,3.68,-3.52,1.0161,6.87,0
3010141,-0.1299,-0.9604,0.2761,4.44,4.06,-3.30,1.0077,6.86,0
3010151,-0.1230,-0.9529,0.2846,4.78,4.52,-3.00,1.0021,7.23,0
3010161,-0.1218,-0.9612,0.2904,2.00,5.10,-1.43,1.0115,5.66,0
3010171,-0.1355,-0.9633,0.2703,-0.31,5.36,0.04,1.0097,5.36,0
3010181,-0.1446,-0.9658,0.2598,-1.37,4.37,0.47,1.0105,4.60,0
3010191,-0.1381,-0.9630,0.2684,1.02,3.75,-0.59,1.0092,3.93,0
3010201,-0.1293,-0.9508,0.2797,2.42,3.30,-1.17,0.9995,4.25,0
3010211,-0.1231,-0.9517,0.2941,0.18,3.19,-0.37,1.0037,3.21,0
3010221,-0.1234,-0.9562,0.2950,-3.97,3.40,1.51,1.0082,5.44,0
3010231,-0.1289,-0.9583,0.2855,-7.20,3.39,2.03,1.0082,8.21,0
3010241,-0.1337,-0.9602,0.2822,-8.37,3.48,1.31,1.0097,9.16,0
3010251,-0.1361,-0.9494,0.2820,-8.94,3.08,0.32,0.9998,9.46,0
3010261,-0.1412,-0.9402,0.2748,-9.32,2.88,-0.69,0.9897,9.78,0
3010271,-0.1437,-0.9298,0.2704,-11.24,2.22,-1.51,0.9789,11.55,0
3010281,-0.1509,-0.9380,0.2628,-13.76,1.32,-2.03,0.9857,13.97,0
3010291,-0.1539,-0.9627,0.2474,-16.63,0.94,-0.82,1.0059,16.68,0
3010301,-0.1570,-0.9640,0.2448,-18.27,1.02,1.79,1.0069,18.39,1
3010311,-0.1526,-0.9671,0.2453,-19.15,0.89,1.96,1.0093,19.27,1
3010321,-0.1529,-0.9757,0.2432,-18.45,0.53,1.25,1.0172,18.50,1
3010331,-0.1557,-0.9755,0.2389,-15.38,0.63,-0.06,1.0164,15.40,1
3010341,-0.1526,-0.9762,0.2389,-11.55,0.53,-2.19,1.0165,11.77,1
3010351,-0.1427,-0.9754,0.2453,-8.51,0.63,-4.70,1.0159,9.74,1
3010361,-0.1334,-0.9649,0.2534,-6.18,0.95,-7.09,1.0065,9.45,1
3010371,-0.1283,-0.9613,0.2573,-5.13,1.37,-8.69,1.0033,10.18,1
3010381,-0.1292,-0.9608,0.2550,-5.01,2.13,-9.00,1.0024,10.52,1
3010391,-0.1291,-0.9577,0.2500,-5.75,2.57,-8.98,0.9982,10.97,1
3010401,-0.1263,-0.9565,0.2482,-6.74,2.72,-9.16,0.9962,11.69,1
3010411,-0.1202,-0.9521,0.2504,-8.15,2.86,-9.20,0.9918,12.61,1
3010421,-0.1149,-0.9475,0.2528,-11.90,3.10,-8.95,0.9873,15.21,1
3010431,-0.1147,-0.9448,0.2401,-15.11,3.22,-8.55,0.9816,17.66,1
3010441,-0.1136,-0.9694,0.2344,-16.21,3.20,-8.55,1.0038,18.61,1
3010451,-0.1101,-0.9790,0.2350,-15.23,3.02,-8.52,1.0128,17.71,1
3010461,-0.1267,-1.0044,0.2444,-10.47,3.61,-10.04,1.0414,14.94,1
3010471,-0.1212,-1.0063,0.2483,-3.84,4.14,-11.59,1.0435,12.90,1
3010481,-0.1210,-1.0353,0.2440,-3.18,3.47,-12.48,1.0705,13.34,1
3010491,-0.1193,-1.0320,0.2332,-1.54,3.32,-12.23,1.0647,12.77,1
3010501,-0.1189,-1.0156,0.2298,-0.08,2.35,-10.45,1.0481,10.71,1
3010511,-0.1165,-0.9988,0.2251,-1.09,1.86,-8.85,1.0304,9.11,1
3010521,-0.1132,-0.9964,0.2240,-2.74,1.47,-7.42,1.0275,8.04,1
3010531,-0.1090,-0.9975,0.2200,-3.25,1.51,-6.23,1.0273,7.19,1
3010541,-0.1090,-0.9935,0.2187,-2.89,2.02,-5.55,1.0231,6.57,1
3010551,-0.1088,-0.9873,0.2207,-2.90,2.70,-5.25,1.0175,6.57,1
3010561,-0.1074,-0.9917,0.2195,-2.95,3.07,-4.53,1.0214,6.22,1
3010571,-0.1058,-0.9920,0.2211,-3.27,3.37,-3.61,1.0218,5.92,1
3010581,-0.1039,-0.9899,0.2133,-3.98,3.26,-3.16,1.0179,6.04,1
3010591,-0.1007,-0.9956,0.2159,-3.93,2.63,-3.35,1.0237,5.79,1
3010601,-0.0987,-0.9985,0.2168,-3.64,2.10,-3.19,1.0266,5.27,1
3010611,-0.0988,-0.9919,0.2179,-3.16,1.86,-2.85,1.0203,4.65,1
3010621,-0.0977,-0.9898,0.2162,-3.32,1.60,-2.64,1.0178,4.53,1
3010631,-0.1048,-0.9884,0.2120,-3.10,1.34,-2.59,1.0163,4.25,1
3010641,-0.1027,-0.9804,0.2161,-3.18,1.33,-2.17,1.0091,4.07,1
3010651,-0.0994,-0.9744,0.2185,-3.54,1.50,-1.58,1.0035,4.16,1
3010661,-0.1053,-0.9771,0.2164,-3.72,1.59,-1.43,1.0063,4.29,1
3010671,-0.1087,-0.9758,0.2131,-3.85,1.85,-1.06,1.0047,4.40,1
3010681,-0.1095,-0.9724,0.2145,-4.31,2.07,-0.87,1.0018,4.86,1
3010691,-0.1059,-0.9799,0.2145,-5.21,1.87,-1.39,1.0087,5.70,1
3010701,-0.1046,-0.9886,0.2143,-5.79,2.07,-1.60,1.0170,6.35,1
3010711,-0.1069,-0.9915,0.2110,-5.55,2.21,-1.84,1.0194,6.25,1
3010721,-0.1069,-0.9976,0.2104,-4.04,2.23,-1.99,1.0251,5.03,1
3010731,-0.1046,-1.0048,0.2137,-2.28,2.20,-1.58,1.0325,3.54,1
3010741,-0.1002,-1.0041,0.2126,-1.41,2.15,-1.19,1.0312,2.83,1
3010751,-0.0979,-1.0065,0.2130,-0.88,1.88,-1.58,1.0335,2.61,1
3010761,-0.0937,-1.0026,0.2181,-0.26,1.48,-2.17,1.0303,2.64,1
3010771,-0.0895,-1.0013,0.2230,1.26,1.44,-2.55,1.0298,3.19,1
3010781,-0.0901,-0.9951,0.2239,1.81,1.42,-2.77,1.0240,3.60,1
3010791,-0.0937,-0.9941,0.2146,1.61,1.39,-3.25,1.0213,3.88,1
3010801,-0.0934,-0.9971,0.2117,1.63,1.29,-3.90,1.0236,4.42,1
3010811,-0.0964,-0.9936,0.2079,2.91,1.41,-4.42,1.0197,5.48,1
