time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
59,1.0428,21.96,0
4564361,0.2273,-0.9224,0.4167,-5.26,-13.05,15.87,1.0373,21.21,0
4564371,0.2216,-0.9228,0.4009,-3.30,-11.67,15.87,1.0302,19.98,0
4564381,0.2140,-0.9051,0.3923,-1.96,-12.29,15.75,1.0094,20.07,0
4564391,0.2105,-0.9007,0.3911,-2.24,-14.27,15.57,1.0042,21.24,0
4564401,0.2152,-0.8984,0.3922,-3.03,-15.28,14.81,1.0036,21.49,0
4564411,0.2235,-0.9059,0.3983,-3.01,-14.88,14.08,1.0145,20.70,0
4564421,0.2266,-0.9119,0.3954,-1.98,-12.95,13.89,1.0194,19.09,0
4564431,0.2198,-0.9094,0.3875,-2.24,-11.42,14.31,1.0127,18.44,0
4564441,0.2139,-0.9003,0.3853,-3.31,-10.42,14.96,1.0024,18.53,0
4564451,0.2049,-0.8916,0.3750,-3.77,-9.73,15.26,0.9888,18.49,0
4564461,0.1979,-0.8904,0.3784,-3.91,-10.27,15.38,0.9875,18.91,0
4564471,0.1842,-0.9054,0.3776,-3.47,-9.42,14.77,0.9981,17.86,0
4564481,0.1496,-0.9663,0.3592,-13.18,-11.66,24.68,1.0417,30.31,0
4564491,0.1841,-0.9345,0.3847,-12.36,-16.28,40.38,1.0272,45.26,0
4564501,0.1824,-0.8745,0.3846,-7.65,-13.91,42.80,0.9726,45.65,0
4564511,0.1834,-0.8122,0.4109,-5.06,-13.46,30.31,0.9285,33.55,0
4564521,0.2495,-0.8240,0.5500,-1.41,1.68,11.36,1.0216,11.57,0
4564531,0.2540,-0.8506,0.3959,10.39,28.39,-6.62,0.9720,30.94,0
4564541,0.2445,-0.8886,0.4283,9.18,25.84,-11.24,1.0163,29.63,0
4564551,0.1990,-0.9205,0.4250,4.96,29.89,-8.51,1.0332,31.47,0
4564561,0.1538,-0.9182,0.4070,6.30,32.53,-4.80,1.0160,33.48,0
4564571,0.0917,-0.8654,0.3762,5.85,34.23,-1.95,0.9481,34.78,0
4564581,0.1096,-0.8816,0.3395,7.81,27.28,-12.25,0.9510,30.91,0
4564591,-0.0653,-1.1898,0.2632,-15.06,-2.29,10.26,1.2203,18.36,0
4564601,0.2434,-0.9144,0.2495,-73.76,-41.97,95.52,0.9786,127.77,0
4564611,0.0496,-1.0529,0.3740,-68.01,-56.99,83.42,1.1185,121.79,0
4564621,-0.0738,-0.9296,0.4154,-38.05,-51.70,64.14,1.0208,90.74,0
4564631,0.0765,-0.8845,0.4225,-21.45,-29.26,57.37,0.9832,67.87,0
4564641,0.0855,-0.8675,0.3622,-18.63,-18.99,39.88,0.9440,47.94,0
4564651,0.0963,-0.9229,0.3909,-22.32,-18.24,30.19,1.0068,41.74,0
4564661,0.0716,-0.9555,0.3978,-12.99,-10.97,24.47,1.0375,29.79,0
4564671,0.0399,-0.9557,0.3548,1.62,-3.05,19.84,1.0202,20.13,0
4564681,0.0134,-0.9435,0.3298,5.94,-5.89,20.09,0.9995,21.76,0
4564691,0.0134,-0.9440,0.3390,-1.73,-12.43,24.88,1.0031,27.86,0
4564701,0.0157,-0.9328,0.3571,-5.55,-16.84,29.96,0.9989,34.81,0
