time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
3601541,-0.1363,-0.9312,0.4101,7.44,-0.16,-0.87,1.0266,7.49,0
3601551,-0.1371,-0.9212,0.4106,8.65,-0.04,-0.94,1.0179,8.70,0
3601561,-0.1390,-0.9115,0.4123,10.10,-0.09,-1.73,1.0100,10.25,0
3601571,-0.1401,-0.9076,0.4156,11.38,0.04,-2.93,1.0080,11.76,0
3601581,-0.1392,-0.9090,0.4149,12.47,0.05,-4.05,1.0089,13.11,0
3601591,-0.1358,-0.9155,0.4180,12.18,-0.20,-4.50,1.0156,12.99,0
3601601,-0.1314,-0.9206,0.4234,10.34,-0.62,-3.60,1.0218,10.97,0
3601611,-0.1282,-0.9343,0.4349,6.95,-0.74,-1.63,1.0385,7.17,0
3601621,-0.1242,-0.9305,0.4277,5.37,1.06,2.18,1.0316,5.89,0
3601631,-0.1215,-0.9182,0.4218,4.00,0.63,3.13,1.0178,5.12,0
3601641,-0.1226,-0.9033,0.4292,4.14,-0.46,2.34,1.0076,4.77,0
3601651,-0.1278,-0.8889,0.4333,5.83,-0.65,0.44,0.9971,5.88,0
3601661,-0.1277,-0.8869,0.4300,6.42,-0.55,-0.97,0.9939,6.52,0
3601671,-0.1281,-0.8966,0.4303,4.68,-1.11,-1.37,1.0027,5.00,0
3601681,-0.1316,-0.9081,0.4300,2.08,-1.62,-0.95,1.0134,2.80,0
3601691,-0.1348,-0.9208,0.4278,-0.25,-1.74,-0.01,1.0242,1.76,0
3601701,-0.1396,-0.9262,0.4214,-1.76,-1.54,1.16,1.0271,2.61,0
3601711,-0.1440,-0.9228,0.4161,-1.61,-1.72,1.70,1.0225,2.91,0
3601721,-0.1415,-0.9187,0.4214,-0.14,-1.96,1.33,1.0205,2.37,0
3601731,-0.1390,-0.9136,0.4236,2.72,-1.72,0.37,1.0166,3.24,0
3601741,-0.1382,-0.9140,0.4252,5.54,-1.65,-0.60,1.0175,5.81,0
3601751,-0.1392,-0.9173,0.4246,5.35,-1.88,-0.53,1.0203,5.69,0
3601761,-0.1428,-0.9199,0.4245,3.22,-2.49,0.16,1.0231,4.08,0
3601771,-0.1424,-0.9183,0.4275,1.52,-3.03,0.99,1.0229,3.53,1
3601781,-0.1413,-0.9125,0.4286,0.82,-3.15,1.69,1.0180,3.67,1
3601791,-0.1366,-0.9058,0.4323,1.22,-2.80,1.61,1.0129,3.45,1
3601801,-0.1329,-0.9009,0.4311,2.49,-2.16,0.88,1.0075,3.42,1
3601811,-0.1285,-0.8974,0.4303,3.84,-1.53,0.06,1.0034,4.14,1
3601821,-0.1259,-0.9012,0.4342,2.68,-2.76,-0.78,1.0083,3.92,1
3601831,-0.1197,-0.9096,0.4432,2.09,-3.04,-1.09,1.0189,3.85,1
3601841,-0.1179,-0.9078,0.4492,2.98,-2.60,-1.44,1.0197,4.20,1
3601851,-0.1189,-0.9047,0.4479,4.84,-1.58,-1.93,1.0165,5.45,1
3601861,-0.1196,-0.9019,0.4430,5.66,-0.96,-2.52,1.0119,6.27,1
3601871,-0.1236,-0.9043,0.4338,4.84,-1.47,-3.06,1.0106,5.91,1
3601881,-0.1325,-0.9062,0.4356,2.77,-2.48,-3.03,1.0142,4.79,1
3601891,-0.1359,-0.9099,0.4350,1.00,-3.09,-2.48,1.0177,4.08,1
3601901,-0.1401,-0.9114,0.4358,-0.51,-3.38,-1.73,1.0199,3.83,1
3601911,-0.1418,-0.9133,0.4409,-0.60,-2.93,-1.54,1.0240,3.36,1
3601921,-0.1400,-0.9142,0.4409,1.63,-1.79,-1.91,1.0246,3.08,1
3601931,-0.1406,-0.9136,0.4392,3.61,-1.24,-2.36,1.0234,4.49,1
3601941,-0.1367,-0.9106,0.4410,6.23,-0.65,-3.26,1.0210,7.06,1
3601951,-0.1291,-0.9125,0.4432,8.32,0.11,-4.21,1.0226,9.33,1
3601961,-0.1199,-0.9199,0.4467,9.04,0.61,-4.74,1.0297,10.23,1
3601971,-0.1149,-0.9195,0.4505,9.28,0.84,-4.55,1.0304,10.37,1
3601981,-0.1122,-0.9222,0.4457,7.67,1.21,-3.38,1.0304,8.47,1
3601991,-0.1186,-0.9113,0.4426,5.15,1.19,-1.43,1.0200,5.48,1
3602001,-0.1215,-0.9113,0.4400,2.75,1.46,0.27,1.0193,3.12,1
3602011,-0.1192,-0.9137,0.4367,1.24,1.82,2.14,1.0197,3.07,1
3602021,-0.1164,-0.9127,0.4410,0.87,1.51,2.29,1.0203,2.88,1
3602031,-0.1185,-0.9073,0.4416,0.60,1.50,2.38,1.0160,2.87,1
3602041,-0.1210,-0.9036,0.4417,1.26,1.64,2.19,1.0130,3.01,1
3602051,-0.1229,-0.9019,0.4403,2.20,1.77,1.66,1.0112,3.27,1
3602061,-0.1231,-0.9015,0.4416,2.08,1.52,1.31,1.0113,2.89,1
3602071,-0.1236,-0.9023,0.4422,1.79,1.23,0.95,1.0124,2.37,1
3602081,-0.1229,-0.9046,0.4443,2.21,1.26,0.66,1.0153,2.63,1
