time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
2963331,-0.0746,-0.9599,0.3085,0.62,0.45,-2.34,1.0110,2.46,0
2963341,-0.0742,-0.9640,0.3070,-0.46,0.53,-1.77,1.0144,1.90,0
2963351,-0.0764,-0.9671,0.3028,-1.69,0.57,-1.20,1.0163,2.15,0
2963361,-0.0801,-0.9719,0.2964,-2.16,0.52,-0.99,1.0192,2.43,0
2963371,-0.0806,-0.9770,0.2953,-2.04,0.36,-0.77,1.0238,2.21,0
2963381,-0.0809,-0.9780,0.2987,-1.55,0.55,-0.10,1.0258,1.65,0
2963391,-0.0828,-0.9722,0.2974,-0.81,0.81,0.30,1.0200,1.18,0
2963401,-0.0822,-0.9624,0.3017,0.14,0.72,0.03,1.0119,0.73,0
2963411,-0.0751,-0.9593,0.3034,0.64,0.08,-0.67,1.0089,0.93,0
2963421,-0.0752,-0.9579,0.3038,0.26,-0.01,-0.87,1.0077,0.91,0
2963431,-0.0780,-0.9616,0.3045,-0.11,-0.11,-0.67,1.0117,0.69,0
2963441,-0.0781,-0.9618,0.3031,-0.19,0.07,-0.41,1.0115,0.46,0
2963451,-0.0784,-0.9624,0.3040,-0.05,0.18,-0.35,1.0123,0.40,0
2963461,-0.0782,-0.9630,0.3039,0.08,0.21,-0.67,1.0129,0.70,0
2963471,-0.0786,-0.9652,0.3032,0.22,0.19,-1.03,1.0147,1.07,0
2963481,-0.0788,-0.9685,0.3026,0.31,0.34,-1.02,1.0178,1.11,0
2963491,-0.0798,-0.9677,0.3037,0.23,0.63,-0.65,1.0174,0.93,0
2963501,-0.0785,-0.9642,0.3034,0.19,0.88,-0.32,1.0139,0.96,0
2963511,-0.0757,-0.9644,0.3036,0.08,0.80,-0.20,1.0139,0.83,0
2963521,-0.0783,-0.9617,0.3015,-0.09,0.80,-0.24,1.0109,0.84,0
2963531,-0.0772,-0.9627,0.2990,-0.41,0.73,-0.32,1.0111,0.89,0
2963541,-0.0800,-0.9646,0.2972,-0.64,0.71,-0.43,1.0125,1.05,1
2963551,-0.0816,-0.9646,0.2972,-0.19,0.78,-0.44,1.0127,0.91,1
