time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
4330151,-0.0528,-1.0090,0.0582,-0.74,0.55,-0.39,1.0121,1.00,1
4330161,-0.0529,-1.0093,0.0621,0.39,0.49,-0.11,1.0126,0.64,1
4330171,-0.0531,-1.0079,0.0623,0.53,0.48,-0.14,1.0112,0.73,1
4330181,-0.0538,-1.0073,0.0645,-0.11,0.46,-0.41,1.0107,0.62,1
4330191,-0.0537,-1.0066,0.0648,-1.60,0.35,-0.81,1.0101,1.83,1
4330201,-0.0523,-1.0085,0.0616,-2.84,0.23,-1.09,1.0117,3.05,1
4330211,-0.0529,-1.0088,0.0621,-3.43,-0.01,-1.08,1.0121,3.59,1
4330221,-0.0532,-1.0074,0.0619,-4.40,-0.57,-1.08,1.0107,4.57,1
4330231,-0.0523,-1.0076,0.0603,-5.29,-1.79,-1.17,1.0107,5.70,1
4330241,-0.0498,-1.0090,0.0606,-5.23,-3.67,-1.29,1.0120,6.52,1
4330251,-0.0473,-1.0092,0.0642,-4.09,-4.90,-1.03,1.0123,6.46,1
4330261,-0.0471,-1.0090,0.0688,-2.56,-4.61,-0.71,1.0124,5.32,1
4330271,-0.0463,-1.0089,0.0632,-1.36,-3.26,-0.35,1.0119,3.54,1
4330281,-0.0496,-1.0104,0.0579,-1.48,-2.35,-0.47,1.0133,2.82,1
4330291,-0.0496,-1.0087,0.0554,-0.76,-2.33,-0.37,1.0114,2.48,1
4330301,-0.0545,-1.0087,0.0509,-0.80,-2.52,-0.39,1.0115,2.67,1
4330311,-0.0498,-1.0086,0.0521,-0.64,-2.25,-0.41,1.0112,2.37,1
4330321,-0.0563,-1.0096,0.0455,-0.81,-1.56,-0.40,1.0122,1.80,1
4330331,-0.0531,-1.0099,0.0446,-0.39,-0.86,-0.18,1.0123,0.96,1
4330341,-0.0545,-1.0081,0.0494,0.20,-0.38,-0.10,1.0108,0.44,1
4330351,-0.0523,-1.0094,0.0510,0.94,0.51,-0.01,1.0121,1.06,1
4330361,-0.0510,-1.0091,0.0537,1.86,0.71,0.15,1.0118,1.99,1
4330371,-0.0521,-1.0088,0.0553,2.27,0.82,0.14,1.0116,2.41,1
4330381,-0.0502,-1.0091,0.0572,2.34,0.98,0.09,1.0119,2.53,1
4330391,-0.0508,-1.0094,0.0556,2.24,0.98,0.04,1.0122,2.45,1
4330401,-0.0515,-1.0087,0.0579,2.23,0.88,0.08,1.0116,2.40,1
4330411,-0.0521,-1.0084,0.0576,1.51,0.91,-0.02,1.0114,1.76,1
4330421,-0.0520,-1.0090,0.0571,0.74,0.75,-0.20,1.0119,1.07,1
4330431,-0.0514,-1.0090,0.0565,0.38,0.64,-0.13,1.0118,0.75,1
4330441,-0.0513,-1.0088,0.0547,0.35,0.57,-0.18,1.0116,0.69,1
4330451,-0.0522,-1.0087,0.0551,0.86,0.53,-0.06,1.0115,1.01,1
4330461,-0.0512,-1.0090,0.0563,1.31,0.53,0.07,1.0118,1.42,1
4330471,-0.0506,-1.0080,0.0562,1.48,0.58,0.16,1.0108,1.60,1
4330481,-0.0516,-1.0085,0.0573,1.36,0.58,0.11,1.0115,1.48,1
4330491,-0.0515,-1.0088,0.0563,0.92,0.56,0.01,1.0117,1.08,1
4330501,-0.0511,-1.0094,0.0564,0.98,0.51,0.11,1.0123,1.11,1
4330511,-0.0519,-1.0087,0.0565,1.29,0.54,0.25,1.0116,1.42,1
4330521,-0.0521,-1.0081,0.0563,1.33,0.56,0.16,1.0110,1.45,1
4330531,-0.0537,-1.0086,0.0581,1.28,0.55,0.23,1.0117,1.41,1
4330541,-0.0510,-1.0084,0.0575,0.77,0.60,0.09,1.0113,0.98,1
4330551,-0.0521,-1.0082,0.0572,0.27,0.54,0.11,1.0111,0.62,1
4330561,-0.0523,-1.0099,0.0567,0.12,0.49,0.00,1.0128,0.51,1
4330571,-0.0522,-1.0094,0.0553,0.31,0.50,0.11,1.0122,0.60,1
4330581,-0.0520,-1.0091,0.0544,0.88,0.49,0.32,1.0119,1.06,1
4330591,-0.0529,-1.0093,0.0558,1.73,0.49,0.48,1.0123,1.86,1
4330601,-0.0529,-1.0081,0.0574,2.03,0.57,0.60,1.0111,2.19,1
4330611,-0.0530,-1.0069,0.0597,1.72,0.60,0.59,1.0100,1.91,1
4330621,-0.0535,-1.0072,0.0599,0.77,0.67,0.25,1.0104,1.05,1
4330631,-0.0537,-1.0082,0.0583,-0.38,0.67,-0.24,1.0113,0.81,1
4330641,-0.0512,-1.0102,0.0578,-0.75,0.52,-0.44,1.0132,1.01,1
4330651,-0.0520,-1.0093,0.0581,-0.67,0.47,-0.32,1.0123,0.88,1
4330661,-0.0516,-1.0079,0.0571,-0.92,0.45,-0.39,1.0108,1.09,1
4330671,-0.0523,-1.0084,0.0562,-0.95,0.51,-0.46,1.0113,1.17,1
4330681,-0.0518,-1.0083,0.0554,-0.76,0.57,-0.46,1.0111,1.05,1
4330691,-0.0518,-1.0095,0.0542,-0.26,0.59,-0.25,1.0123,0.69,1
