time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
4149871,-0.0427,-1.0106,0.0157,1.02,0.51,-0.01,1.0116,1.13,0
4149881,-0.0407,-1.0168,0.0151,0.53,0.52,-0.17,1.0177,0.75,0
4149891,-0.0399,-1.0142,0.0157,0.73,0.52,-0.11,1.0151,0.90,0
4149901,-0.0391,-1.0104,0.0154,0.47,0.53,-0.23,1.0113,0.75,0
4149911,-0.0388,-1.0116,0.0138,0.24,0.53,-0.32,1.0125,0.66,0
4149921,-0.0383,-1.0085,0.0116,0.60,0.49,-0.12,1.0093,0.79,0
4149931,-0.0387,-1.0030,0.0099,0.51,0.42,-0.04,1.0038,0.66,0
4149941,-0.0391,-1.0065,0.0084,0.36,0.54,-0.14,1.0073,0.67,0
4149951,-0.0393,-1.0076,0.0068,0.72,0.52,-0.01,1.0084,0.88,0
4149961,-0.0401,-1.0077,0.0107,1.23,0.53,0.04,1.0086,1.34,0
4149971,-0.0409,-1.0102,0.0117,0.92,0.49,-0.06,1.0111,1.04,0
4149981,-0.0410,-1.0130,0.0150,1.11,0.49,-0.05,1.0139,1.22,0
4149991,-0.0417,-1.0107,0.0167,0.99,0.51,-0.02,1.0117,1.11,0
4150001,-0.0407,-1.0138,0.0168,0.58,0.53,-0.13,1.0147,0.79,0
4150011,-0.0404,-1.0153,0.0153,0.51,0.53,-0.15,1.0162,0.75,0
4150021,-0.0394,-1.0098,0.0143,0.39,0.56,-0.15,1.0107,0.70,0
4150031,-0.0382,-1.0084,0.0107,0.18,0.56,-0.24,1.0091,0.63,0
4150041,-0.0377,-1.0054,0.0099,0.42,0.52,-0.11,1.0062,0.67,0
4150051,-0.0396,-1.0077,0.0091,0.67,0.52,-0.10,1.0086,0.85,0
4150061,-0.0398,-1.0104,0.0101,0.93,0.50,-0.04,1.0113,1.05,0
4150071,-0.0413,-1.0105,0.0121,1.12,0.48,-0.04,1.0114,1.22,0
4150081,-0.0433,-1.0110,0.0128,0.89,0.50,-0.10,1.0120,1.03,0
4150091,-0.0418,-1.0126,0.0143,0.83,0.51,-0.12,1.0136,0.98,0
4150101,-0.0404,-1.0110,0.0162,0.87,0.50,-0.09,1.0119,1.00,0
4150111,-0.0402,-1.0106,0.0165,0.53,0.54,-0.15,1.0115,0.78,0
4150121,-0.0383,-1.0141,0.0145,0.51,0.55,-0.19,1.0150,0.77,1
4150131,-0.0383,-1.0103,0.0138,0.53,0.55,-0.16,1.0111,0.78,1
4150141,-0.0384,-1.0079,0.0111,0.31,0.54,-0.18,1.0087,0.65,1
4150151,-0.0388,-1.0072,0.0094,0.44,0.54,-0.09,1.0080,0.70,1
4150161,-0.0387,-1.0053,0.0096,0.73,0.51,0.00,1.0061,0.89,1
4150171,-0.0402,-1.0062,0.0098,0.74,0.52,-0.01,1.0071,0.91,1
4150181,-0.0405,-1.0110,0.0105,0.89,0.47,-0.06,1.0118,1.01,1
4150191,-0.0415,-1.0104,0.0124,1.10,0.49,-0.01,1.0114,1.21,1
4150201,-0.0412,-1.0111,0.0147,0.95,0.46,-0.08,1.0120,1.06,1
4150211,-0.0400,-1.0120,0.0162,0.77,0.54,-0.12,1.0129,0.95,1
4150221,-0.0387,-1.0093,0.0166,0.69,0.50,-0.15,1.0102,0.87,1
4150231,-0.0391,-1.0058,0.0098,0.39,0.51,-0.23,1.0066,0.68,1
4150241,-0.0393,-1.0064,0.0066,0.38,0.51,-0.25,1.0072,0.68,1
4150251,-0.0395,-1.0090,0.0052,1.02,0.50,-0.11,1.0097,1.14,1
4150261,-0.0395,-1.0148,0.0087,1.35,0.50,0.00,1.0156,1.44,1
4150271,-0.0377,-1.0157,0.0155,1.58,0.48,0.11,1.0165,1.65,1
4150281,-0.0388,-1.0129,0.0220,1.46,0.51,0.11,1.0138,1.55,1
4150291,-0.0381,-1.0113,0.0253,1.01,0.41,-0.04,1.0123,1.09,1
4150301,-0.0399,-1.0111,0.0211,0.53,0.48,-0.18,1.0121,0.74,0
4150311,-0.0404,-1.0121,0.0162,0.26,0.51,-0.27,1.0130,0.63,0
