time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag,gyro_mag,label
753191,-0.5483,-0.2140,0.8016,18.20,-0.34,-1.65,0.9945,18.28,0
753201,-0.5400,-0.2450,0.8025,16.56,-0.86,-2.28,0.9978,16.73,0
753211,-0.5352,-0.2586,0.8021,16.05,-1.80,-1.15,0.9983,16.19,0
753221,-0.5298,-0.2555,0.8071,17.44,-2.44,1.20,0.9987,17.65,0
753231,-0.5407,-0.2354,0.8213,17.64,-3.20,1.97,1.0111,18.04,0
753241,-0.5571,-0.2316,0.8395,17.49,-1.93,0.37,1.0338,17.60,0
753251,-0.5610,-0.2310,0.8420,16.60,1.19,-0.91,1.0378,16.67,0
753261,-0.5640,-0.2226,0.8250,14.82,3.75,-2.76,1.0239,15.53,0
753271,-0.5534,-0.2263,0.8193,9.57,4.52,-4.79,1.0142,11.62,0
753281,-0.5351,-0.2484,0.7988,4.10,4.31,-5.37,0.9930,8.02,0
753291,-0.5429,-0.2646,0.7836,-1.04,2.78,-4.58,0.9893,5.46,0
753301,-0.5563,-0.2477,0.7907,2.74,0.32,-3.33,0.9980,4.33,0
753311,-0.5385,-0.2473,0.7937,6.96,-1.37,-0.86,0.9905,7.14,0
753321,-0.5489,-0.2419,0.7992,6.68,-2.75,1.17,0.9993,7.31,0
753331,-0.5588,-0.2306,0.8133,5.69,-2.91,0.77,1.0133,6.44,0
753341,-0.5575,-0.2334,0.8225,3.99,-2.54,-0.38,1.0206,4.74,0
753351,-0.5593,-0.2487,0.8249,1.70,-0.08,-0.59,1.0272,1.80,0
753361,-0.5666,-0.2562,0.8261,2.55,1.29,-0.09,1.0339,2.85,0
753371,-0.5589,-0.2612,0.8296,4.16,2.17,0.43,1.0338,4.71,0
753381,-0.5528,-0.2517,0.8254,5.50,3.15,0.91,1.0248,6.41,0
753391,-0.5483,-0.2414,0.8193,5.44,3.07,1.21,1.0149,6.36,0
753401,-0.5550,-0.2432,0.8187,5.85,2.24,1.53,1.0186,6.45,0
753411,-0.5540,-0.2370,0.8210,8.02,1.65,1.88,1.0184,8.40,0
753421,-0.5587,-0.2259,0.8194,9.96,0.68,1.90,1.0171,10.16,0
753431,-0.5634,-0.2265,0.8422,10.82,0.99,1.65,1.0383,10.99,0
753441,-0.5465,-0.2210,0.8322,12.88,2.85,1.76,1.0199,13.31,0
753451,-0.5165,-0.2342,0.8362,12.57,3.15,3.18,1.0104,13.34,0
753461,-0.5347,-0.2026,0.8355,12.88,2.75,5.00,1.0124,14.09,0
753471,-0.5259,-0.2071,0.8443,12.73,3.12,2.88,1.0160,13.42,0
753481,-0.5192,-0.1977,0.8555,13.65,1.81,1.15,1.0200,13.82,0
753491,-0.5257,-0.1872,0.8713,14.66,1.64,-0.95,1.0347,14.78,0
753501,-0.5503,-0.1805,0.8716,18.09,2.33,-3.94,1.0464,18.66,0
753511,-0.5494,-0.1856,0.8490,19.43,4.87,-9.14,1.0282,22.02,0
753521,-0.5243,-0.2362,0.8250,14.45,6.35,-12.32,1.0057,20.02,0
753531,-0.5772,-0.1770,0.8765,13.52,6.08,-10.62,1.0643,18.24,0
753541,-0.5052,-0.1754,0.8496,35.34,10.34,-11.04,1.0039,38.44,0
753551,-0.5333,-0.2438,0.7855,20.69,8.64,-6.70,0.9802,23.40,0
753561,-0.5918,-0.1951,0.8121,24.54,7.02,-10.32,1.0236,27.53,0
753571,-0.5281,-0.1918,0.8120,27.81,5.89,-11.78,0.9875,30.77,0
753581,-0.5452,-0.1877,0.7969,23.63,4.73,-6.44,0.9836,24.94,0
753591,-0.5595,-0.1855,0.7807,24.68,3.98,-6.27,0.9783,25.77,0
753601,-0.5539,-0.1622,0.7739,26.79,1.23,-7.28,0.9654,27.79,0
753611,-0.5642,-0.1743,0.7722,19.52,-1.50,-7.23,0.9721,20.87,0
753621,-0.5745,-0.1998,0.7857,13.40,-3.04,-8.09,0.9937,15.94,0
753631,-0.5807,-0.2123,0.7853,10.40,-2.25,-8.52,0.9995,13.63,0
753641,-0.5825,-0.2320,0.7821,7.84,-1.72,-7.29,1.0024,10.84,0
